ID,Station,Section,Side,X,Y,Z
1,0,0,R,14559.07,6735.0,-1113.09
2,0,1,R,14559.07,6701.44,-858.15
3,0,2,R,14559.07,6603.04,-620.59
4,0,3,R,14559.07,6446.5,-416.59
5,0,4,R,14559.07,6242.5,-260.06
6,0,5,R,14559.07,6004.94,-161.65
7,0,6,R,14559.07,5750.0,-128.09
8,0,7,R,14559.07,5495.06,-161.65
9,0,8,R,14559.07,5257.5,-260.06
10,0,9,R,14559.07,5053.5,-416.59
11,0,10,R,14559.07,4896.96,-620.59
12,0,11,R,14559.07,4798.56,-858.15
13,0,12,R,14559.07,4765.0,-1113.09
14,0,13,R,14559.07,4798.56,-1368.03
15,0,14,R,14559.07,4896.96,-1605.59
16,0,15,R,14559.07,5053.5,-1809.59
17,0,16,R,14559.07,5257.5,-1966.13
18,0,17,R,14559.07,5495.06,-2064.53
19,0,18,R,14559.07,5750.0,-2098.09
20,0,19,R,14559.07,6004.94,-2064.53
21,0,20,R,14559.07,6242.5,-1966.13
22,0,21,R,14559.07,6446.5,-1809.59
23,0,22,R,14559.07,6603.04,-1605.59
24,0,23,R,14559.07,6701.44,-1368.03
25,1,0,R,14732.75,6746.58,-1113.09
26,1,1,R,14732.75,6712.62,-855.16
27,1,2,R,14732.75,6613.06,-614.8
28,1,3,R,14732.75,6454.69,-408.4
29,1,4,R,14732.75,6248.29,-250.03
30,1,5,R,14732.75,6007.93,-150.47
31,1,6,R,14732.75,5750.0,-116.51
32,1,7,R,14732.75,5492.07,-150.47
33,1,8,R,14732.75,5251.71,-250.03
34,1,9,R,14732.75,5045.31,-408.4
35,1,10,R,14732.75,4886.94,-614.8
36,1,11,R,14732.75,4787.38,-855.16
37,1,12,R,14732.75,4753.42,-1113.09
38,1,13,R,14732.75,4787.38,-1371.02
39,1,14,R,14732.75,4886.94,-1611.38
40,1,15,R,14732.75,5045.31,-1817.78
41,1,16,R,14732.75,5251.71,-1976.15
42,1,17,R,14732.75,5492.07,-2075.71
43,1,18,R,14732.75,5750.0,-2109.67
44,1,19,R,14732.75,6007.93,-2075.71
45,1,20,R,14732.75,6248.29,-1976.15
46,1,21,R,14732.75,6454.69,-1817.78
47,1,22,R,14732.75,6613.06,-1611.38
48,1,23,R,14732.75,6712.62,-1371.02
49,2,0,R,14906.44,6752.63,-1113.09
50,2,1,R,14906.44,6718.47,-853.59
51,2,2,R,14906.44,6618.3,-611.77
52,2,3,R,14906.44,6458.97,-404.12
53,2,4,R,14906.44,6251.32,-244.79
54,2,5,R,14906.44,6009.5,-144.62
55,2,6,R,14906.44,5750.0,-110.46
56,2,7,R,14906.44,5490.5,-144.62
57,2,8,R,14906.44,5248.68,-244.79
58,2,9,R,14906.44,5041.03,-404.12
59,2,10,R,14906.44,4881.7,-611.77
60,2,11,R,14906.44,4781.53,-853.59
61,2,12,R,14906.44,4747.37,-1113.09
62,2,13,R,14906.44,4781.53,-1372.59
63,2,14,R,14906.44,4881.7,-1614.41
64,2,15,R,14906.44,5041.03,-1822.06
65,2,16,R,14906.44,5248.68,-1981.39
66,2,17,R,14906.44,5490.5,-2081.56
67,2,18,R,14906.44,5750.0,-2115.72
68,2,19,R,14906.44,6009.5,-2081.56
69,2,20,R,14906.44,6251.32,-1981.39
70,2,21,R,14906.44,6458.97,-1822.06
71,2,22,R,14906.44,6618.3,-1614.41
72,2,23,R,14906.44,6718.47,-1372.59
73,3,0,R,15080.12,6743.95,-1113.09
74,3,1,R,15080.12,6710.08,-855.84
75,3,2,R,15080.12,6610.78,-616.12
76,3,3,R,15080.12,6452.83,-410.26
77,3,4,R,15080.12,6246.97,-252.31
78,3,5,R,15080.12,6007.25,-153.01
79,3,6,R,15080.12,5750.0,-119.14
80,3,7,R,15080.12,5492.75,-153.01
81,3,8,R,15080.12,5253.03,-252.31
82,3,9,R,15080.12,5047.17,-410.26
83,3,10,R,15080.12,4889.22,-616.12
84,3,11,R,15080.12,4789.92,-855.84
85,3,12,R,15080.12,4756.05,-1113.09
86,3,13,R,15080.12,4789.92,-1370.34
87,3,14,R,15080.12,4889.22,-1610.06
88,3,15,R,15080.12,5047.17,-1815.92
89,3,16,R,15080.12,5253.03,-1973.87
90,3,17,R,15080.12,5492.75,-2073.17
91,3,18,R,15080.12,5750.0,-2107.04
92,3,19,R,15080.12,6007.25,-2073.17
