ID,Station,Section,Side,X,Y,Z
1,0,0,,0.0,40.0,0.0
2,0,1,,0.0,39.23,8.19
3,0,2,,0.0,36.96,16.07
4,0,3,,0.0,33.26,23.33
5,0,4,,0.0,28.28,29.7
6,0,5,,0.0,22.22,34.92
7,0,6,,0.0,15.31,38.8
8,0,7,,0.0,7.8,41.19
9,0,8,,0.0,0.0,42.0
10,0,9,,0.0,-7.8,41.19
11,0,10,,0.0,-15.31,38.8
12,0,11,,0.0,-22.22,34.92
13,0,12,,0.0,-28.28,29.7
14,0,13,,0.0,-33.26,23.33
15,0,14,,0.0,-36.96,16.07
16,0,15,,0.0,-39.23,8.19
17,0,16,,0.0,-40.0,0.0
18,0,17,,0.0,-39.23,-8.19
19,0,18,,0.0,-36.96,-16.07
20,0,19,,0.0,-33.26,-23.33
21,0,20,,0.0,-28.28,-29.7
22,0,21,,0.0,-22.22,-34.92
23,0,22,,0.0,-15.31,-38.8
24,0,23,,0.0,-7.8,-41.19
25,0,24,,0.0,-0.0,-42.0
26,0,25,,0.0,7.8,-41.19
27,0,26,,0.0,15.31,-38.8
28,0,27,,0.0,22.22,-34.92
29,0,28,,0.0,28.28,-29.7
30,0,29,,0.0,33.26,-23.33
31,0,30,,0.0,36.96,-16.07
32,0,31,,0.0,39.23,-8.19
33,1,0,,766.73,420.04,0.0
34,1,1,,766.73,411.97,86.04
35,1,2,,766.73,388.07,168.78
36,1,3,,766.73,349.25,245.03
37,1,4,,766.73,297.01,311.86
38,1,5,,766.73,233.36,366.71
39,1,6,,766.73,160.74,407.47
40,1,7,,766.73,81.95,432.57
41,1,8,,766.73,0.0,441.04
42,1,9,,766.73,-81.95,432.57
43,1,10,,766.73,-160.74,407.47
44,1,11,,766.73,-233.36,366.71
45,1,12,,766.73,-297.01,311.86
46,1,13,,766.73,-349.25,245.03
47,1,14,,766.73,-388.07,168.78
48,1,15,,766.73,-411.97,86.04
49,1,16,,766.73,-420.04,0.0
50,1,17,,766.73,-411.97,-86.04
51,1,18,,766.73,-388.07,-168.78
52,1,19,,766.73,-349.25,-245.03
53,1,20,,766.73,-297.01,-311.86
54,1,21,,766.73,-233.36,-366.71
55,1,22,,766.73,-160.74,-407.47
56,1,23,,766.73,-81.95,-432.57
57,1,24,,766.73,-0.0,-441.04
58,1,25,,766.73,81.95,-432.57
59,1,26,,766.73,160.74,-407.47
60,1,27,,766.73,233.36,-366.71
61,1,28,,766.73,297.01,-311.86
62,1,29,,766.73,349.25,-245.03
63,1,30,,766.73,388.07,-168.78
64,1,31,,766.73,411.97,-86.04
65,2,0,,1533.47,846.73,0.0
66,2,1,,1533.47,830.46,173.45
67,2,2,,1533.47,782.28,340.23
68,2,3,,1533.47,704.03,493.94
69,2,4,,1533.47,598.73,628.67
70,2,5,,1533.47,470.42,739.24
71,2,6,,1533.47,324.03,821.39
72,2,7,,1533.47,165.19,871.99
73,2,8,,1533.47,0.0,889.07
74,2,9,,1533.47,-165.19,871.99
75,2,10,,1533.47,-324.03,821.39
76,2,11,,1533.47,-470.42,739.24
77,2,12,,1533.47,-598.73,628.67
78,2,13,,1533.47,-704.03,493.94
79,2,14,,1533.47,-782.28,340.23
80,2,15,,1533.47,-830.46,173.45
81,2,16,,1533.47,-846.73,0.0
82,2,17,,1533.47,-830.46,-173.45
83,2,18,,1533.47,-782.28,-340.23
84,2,19,,1533.47,-704.03,-493.94
85,2,20,,1533.47,-598.73,-628.67
86,2,21,,1533.47,-470.42,-739.24
87,2,22,,1533.47,-324.03,-821.39
88,2,23,,1533.47,-165.19,-871.99
89,2,24,,1533.47,-0.0,-889.07
90,2,25,,1533.47,165.19,-871.99
91,2,26,,1533.47,324.03,-821.39
92,2,27,,1533.47,470.42,-739.24
93,2,28,,1533.47,598.73,-628.67
94,2,29,,1533.47,704.03,-493.94
95,2,30,,1533.47,782.28,-340.23
96,2,31,,1533.47,830.46,-173.45
97,3,0,,2300.2,1155.07,0.0
98,3,1,,2300.2,1132.88,236.61
99,3,2,,2300.2,1067.15,464.13
100,3,3,,2300.2,960.41,673.81
101,3,4,,2300.2,816.76,857.6
102,3,5,,2300.2,641.72,1008.43
103,3,6,,2300.2,442.03,1120.5
104,3,7,,2300.2,225.34,1189.52
105,3,8,,2300.2,0.0,1212.82
106,3,9,,2300.2,-225.34,1189.52
107,3,10,,2300.2,-442.03,1120.5
108,3,11,,2300.2,-641.72,1008.43
109,3,12,,2300.2,-816.76,857.6
110,3,13,,2300.2,-960.41,673.81
111,3,14,,2300.2,-1067.15,464.13
112,3,15,,2300.2,-1132.88,236.61
113,3,16,,2300.2,-1155.07,0.0
114,3,17,,2300.2,-1132.88,-236.61
115,3,18,,2300.2,-1067.15,-464.13
116,3,19,,2300.2,-960.41,-673.81
117,3,20,,2300.2,-816.76,-857.6
118,3,21,,2300.2,-641.72,-1008.43
119,3,22,,2300.2,-442.03,-1120.5
120,3,23,,2300.2,-225.34,-1189.52
121,3,24,,2300.2,-0.0,-1212.82
122,3,25,,2300.2,225.34,-1189.52
123,3,26,,2300.2,442.03,-1120.5
124,3,27,,2300.2,641.72,-1008.43
125,3,28,,2300.2,816.76,-857.6
126,3,29,,2300.2,960.41,-673.81
127,3,30,,2300.2,1067.15,-464.13
128,3,31,,2300.2,1132.88,-236.61
129,4,0,,3066.94,1381.4,0.0
130,4,1,,3066.94,1354.86,282.97
131,4,2,,3066.94,1276.25,555.07
132,4,3,,3066.94,1148.6,805.84
133,4,4,,3066.94,976.8,1025.64
134,4,5,,3066.94,767.47,1206.03
135,4,6,,3066.94,528.64,1340.06
136,4,7,,3066.94,269.5,1422.6
137,4,8,,3066.94,0.0,1450.47
138,4,9,,3066.94,-269.5,1422.6
139,4,10,,3066.94,-528.64,1340.06
140,4,11,,3066.94,-767.47,1206.03
141,4,12,,3066.94,-976.8,1025.64
142,4,13,,3066.94,-1148.6,805.84
143,4,14,,3066.94,-1276.25,555.07
144,4,15,,3066.94,-1354.86,282.97
145,4,16,,3066.94,-1381.4,0.0
146,4,17,,3066.94,-1354.86,-282.97
147,4,18,,3066.94,-1276.25,-555.07
