ID,Station,Section,Side,X,Y,Z
1,0,0,C,36500.0,0.0,1596.22
2,0,1,C,36409.09,0.0,1583.7
3,0,2,C,36318.18,0.0,1571.63
4,0,3,C,36227.27,0.0,1559.98
5,0,4,C,36136.36,0.0,1548.74
6,0,5,C,36045.45,0.0,1537.89
7,0,6,C,35954.55,0.0,1527.41
8,0,7,C,35863.64,0.0,1517.31
9,0,8,C,35772.73,0.0,1507.57
10,0,9,C,35681.82,0.0,1498.2
11,0,10,C,35590.91,0.0,1489.2
12,0,11,C,35500.0,0.0,1480.59
13,0,12,C,35409.09,0.0,1472.38
14,0,13,C,35318.18,0.0,1464.6
15,0,14,C,35227.27,0.0,1457.27
16,0,15,C,35136.36,0.0,1450.43
17,0,16,C,35045.45,0.0,1444.12
18,0,17,C,34954.55,0.0,1438.39
19,0,18,C,34863.64,0.0,1433.28
20,0,19,C,34772.73,0.0,1428.88
21,0,20,C,34681.82,0.0,1425.25
22,0,21,C,34590.91,0.0,1422.48
23,0,22,C,34500.0,0.0,1420.67
24,0,23,C,34409.09,0.0,1419.96
25,0,24,C,34318.18,0.0,1420.47
26,0,25,C,34227.27,0.0,1422.39
27,0,26,C,34136.36,0.0,1425.94
28,0,27,C,34045.45,0.0,1431.4
29,0,28,C,33954.55,0.0,1439.19
30,0,29,C,33863.64,0.0,1449.86
31,0,30,C,33772.73,0.0,1464.34
32,0,31,C,33681.82,0.0,1484.39
33,0,32,C,33590.91,0.0,1514.41
34,0,33,C,33500.0,0.0,1600.0
35,0,34,C,33590.91,0.0,1685.59
36,0,35,C,33681.82,0.0,1715.61
37,0,36,C,33772.73,0.0,1735.66
38,0,37,C,33863.64,0.0,1750.14
39,0,38,C,33954.55,0.0,1760.81
40,0,39,C,34045.45,0.0,1768.6
41,0,40,C,34136.36,0.0,1774.06
42,0,41,C,34227.27,0.0,1777.61
43,0,42,C,34318.18,0.0,1779.53
44,0,43,C,34409.09,0.0,1780.04
45,0,44,C,34500.0,0.0,1779.33
46,0,45,C,34590.91,0.0,1777.52
