ID,Station,Section,Side,X,Y,Z
1,0,0,,35600.0,-5.88,1800.0
2,0,1,,35440.0,-24.26,1800.0
3,0,2,,35280.0,-42.02,1800.0
4,0,3,,35120.0,-59.19,1800.0
5,0,4,,34960.0,-75.79,1800.0
6,0,5,,34800.0,-91.85,1800.0
7,0,6,,34640.0,-107.39,1800.0
8,0,7,,34480.0,-122.41,1800.0
9,0,8,,34320.0,-136.93,1800.0
10,0,9,,34160.0,-150.94,1800.0
11,0,10,,34000.0,-164.43,1800.0
12,0,11,,33840.0,-177.4,1800.0
13,0,12,,33680.0,-189.83,1800.0
14,0,13,,33520.0,-201.69,1800.0
15,0,14,,33360.0,-212.96,1800.0
16,0,15,,33200.0,-223.59,1800.0
17,0,16,,33040.0,-233.53,1800.0
18,0,17,,32880.0,-242.74,1800.0
19,0,18,,32720.0,-251.16,1800.0
20,0,19,,32560.0,-258.7,1800.0
21,0,20,,32400.0,-265.28,1800.0
22,0,21,,32240.0,-270.81,1800.0
23,0,22,,32080.0,-275.17,1800.0
24,0,23,,31920.0,-278.24,1800.0
25,0,24,,31760.0,-279.86,1800.0
26,0,25,,31600.0,-279.87,1800.0
27,0,26,,31440.0,-278.03,1800.0
28,0,27,,31280.0,-274.1,1800.0
29,0,28,,31120.0,-267.75,1800.0
30,0,29,,30960.0,-258.55,1800.0
31,0,30,,30800.0,-245.92,1800.0
32,0,31,,30640.0,-229.0,1800.0
33,0,32,,30480.0,-206.4,1800.0
34,0,33,,30320.0,-175.49,1800.0
35,0,34,,30160.0,-129.65,1800.0
36,0,35,,30000.0,0.0,1800.0
37,0,36,,30160.0,129.65,1800.0
38,0,37,,30320.0,175.49,1800.0
39,0,38,,30480.0,206.4,1800.0
40,0,39,,30640.0,229.0,1800.0
41,0,40,,30800.0,245.92,1800.0
42,0,41,,30960.0,258.55,1800.0
43,0,42,,31120.0,267.75,1800.0
44,0,43,,31280.0,274.1,1800.0
45,0,44,,31440.0,278.03,1800.0
46,0,45,,31600.0,279.87,1800.0
47,0,46,,31760.0,279.86,1800.0
48,0,47,,31920.0,278.24,1800.0
49,0,48,,32080.0,275.17,1800.0
