ID,Station,Section,Side,X,Y,Z
1,0,0,R,18888.75,2010.25,-894.97
2,0,1,R,18714.74,2010.55,-898.37
3,0,2,R,18540.91,2010.84,-901.56
4,0,3,R,18367.24,2011.11,-904.58
5,0,4,R,18193.73,2011.36,-907.45
6,0,5,R,18020.37,2011.61,-910.19
7,0,6,R,17847.16,2011.84,-912.83
8,0,7,R,17674.08,2012.07,-915.37
9,0,8,R,17501.14,2012.29,-917.82
10,0,9,R,17328.32,2012.5,-920.2
11,0,10,R,17155.64,2012.71,-922.49
12,0,11,R,16983.07,2012.9,-924.71
13,0,12,R,16810.62,2013.09,-926.84
14,0,13,R,16638.28,2013.28,-928.88
15,0,14,R,16466.05,2013.45,-930.81
16,0,15,R,16293.93,2013.61,-932.62
17,0,16,R,16121.92,2013.76,-934.27
18,0,17,R,15950.01,2013.89,-935.74
19,0,18,R,15778.2,2014.0,-937.01
20,0,19,R,15606.48,2014.09,-938.02
21,0,20,R,15434.87,2014.16,-938.75
22,0,21,R,15263.34,2014.19,-939.13
23,0,22,R,15091.9,2014.19,-939.11
24,0,23,R,14920.56,2014.15,-938.64
25,0,24,R,14749.29,2014.06,-937.63
26,0,25,R,14578.11,2013.91,-936.02
27,0,26,R,14407.28,2013.71,-933.73
28,0,27,R,14237.63,2013.47,-931.07
29,0,28,R,14068.06,2013.2,-928.05
30,0,29,R,13898.52,2012.89,-924.53
31,0,30,R,13729.02,2012.52,-920.38
32,0,31,R,13559.51,2012.07,-915.42
33,0,32,R,13389.97,2011.54,-909.46
34,0,33,R,13220.37,2010.9,-902.28
35,0,34,R,13050.68,2010.13,-893.6
36,0,35,R,12880.84,2009.19,-883.09
37,0,36,R,12710.8,2008.05,-870.3
38,0,37,R,12540.51,2006.66,-854.69
39,0,38,R,12369.87,2004.94,-835.46
40,0,39,R,12198.79,2002.79,-811.43
41,0,40,R,12027.1,2000.05,-780.69
42,0,41,R,11854.53,1996.38,-739.55
43,0,42,R,11680.51,1990.94,-678.64
44,0,43,R,11500.0,1975.0,-500.0
45,0,44,R,11664.96,1957.69,-306.06
46,0,45,R,11836.29,1951.07,-231.84
47,0,46,R,12008.98,1946.39,-179.39
48,0,47,R,12182.43,1942.81,-139.32
49,0,48,R,12356.4,1940.01,-107.96
50,0,49,R,12530.7,1937.82,-83.38
51,0,50,R,12705.24,1936.12,-64.41
52,0,51,R,12879.94,1934.86,-50.26
53,0,52,R,13054.72,1933.98,-40.37
54,0,53,R,13229.55,1933.44,-34.31
55,0,54,R,13404.36,1933.21,-31.73
56,0,55,R,13579.14,1933.27,-32.37
57,0,56,R,13753.84,1933.59,-36.0
58,0,57,R,13928.43,1934.16,-42.42
59,0,58,R,14102.9,1934.97,-51.48
60,0,59,R,14277.21,1936.0,-63.01
61,0,60,R,14451.36,1937.24,-76.9
62,0,61,R,14624.23,1938.66,-92.8
63,0,62,R,14796.7,1940.22,-110.28
64,0,63,R,14969.04,1941.91,-129.25
65,0,64,R,15141.25,1943.73,-149.63
66,0,65,R,15313.33,1945.67,-171.36
