ID,Station,Section,Side,X,Y,Z
1,0,0,R,19929.59,17048.53,845.41
2,0,1,R,19881.31,17043.0,845.41
3,0,2,R,19833.04,17037.7,845.41
4,0,3,R,19784.76,17032.61,845.41
5,0,4,R,19736.48,17027.72,845.41
6,0,5,R,19688.21,17023.02,845.41
7,0,6,R,19639.93,17018.51,845.41
8,0,7,R,19591.66,17014.18,845.41
9,0,8,R,19543.38,17010.04,845.41
10,0,9,R,19495.11,17006.09,845.41
11,0,10,R,19446.83,17002.33,845.41
12,0,11,R,19398.55,16998.78,845.41
13,0,12,R,19350.28,16995.46,845.41
14,0,13,R,19302.0,16992.37,845.41
15,0,14,R,19253.73,16989.54,845.41
16,0,15,R,19205.45,16987.01,845.41
17,0,16,R,19157.17,16984.79,845.41
18,0,17,R,19108.9,16982.93,845.41
19,0,18,R,19060.62,16981.48,845.41
20,0,19,R,19012.35,16980.48,845.41
21,0,20,R,18964.07,16980.01,845.41
22,0,21,R,18915.79,16980.14,845.41
23,0,22,R,18867.52,16980.96,845.41
24,0,23,R,18819.24,16982.62,845.41
25,0,24,R,18770.97,16985.27,845.41
26,0,25,R,18722.69,16989.17,845.41
27,0,26,R,18674.42,16994.7,845.41
28,0,27,R,18626.14,17002.61,845.41
29,0,28,R,18577.86,17014.73,845.41
30,0,29,R,18529.59,17050.0,845.41
31,0,30,R,18577.86,17085.27,845.41
32,0,31,R,18626.14,17097.39,845.41
33,0,32,R,18674.42,17105.3,845.41
34,0,33,R,18722.69,17110.83,845.41
35,0,34,R,18770.97,17114.73,845.41
36,0,35,R,18819.24,17117.38,845.41
37,0,36,R,18867.52,17119.04,845.41
38,0,37,R,18915.79,17119.86,845.41
39,0,38,R,18964.07,17119.99,845.41
40,0,39,R,19012.35,17119.52,845.41
41,0,40,R,19060.62,17118.52,845.41
42,0,41,R,19108.9,17117.07,845.41
43,0,42,R,19157.17,17115.21,845.41
44,0,43,R,19205.45,17112.99,845.41
45,0,44,R,19253.73,17110.46,845.41
46,0,45,R,19302.0,17107.63,845.41
47,0,46,R,19350.28,17104.54,845.41
48,0,47,R,19398.55,17101.22,845.41
49,0,48,R,19446.83,17097.67,845.41
50,0,49,R,19495.11,17093.91,845.41
51,0,50,R,19543.38,17089.96,845.41
52,0,51,R,19591.66,17085.82,845.41
53,0,52,R,19639.93,17081.49,845.41
54,0,53,R,19688.21,17076.98,845.41
55,0,54,R,19736.48,17072.28,845.41
56,0,55,R,19784.76,17067.39,845.41
57,0,56,R,19833.04,17062.3,845.41
58,0,57,R,19881.31,17057.0,845.41
59,0,58,R,19929.59,17051.47,845.41
60,1,0,R,20164.06,17181.95,1076.37
61,1,1,R,20118.65,17176.75,1076.47
62,1,2,R,20073.25,17171.77,1076.56
63,1,3,R,20027.85,17166.98,1076.64
64,1,4,R,19982.45,17162.38,1076.72
65,1,5,R,19937.04,17157.96,1076.8
66,1,6,R,19891.64,17153.72,1076.88
67,1,7,R,19846.24,17149.65,1076.95
68,1,8,R,19800.84,17145.76,1077.02
69,1,9,R,19755.43,17142.04,1077.09
70,1,10,R,19710.03,17138.51,1077.15
71,1,11,R,19664.63,17135.17,1077.21
72,1,12,R,19619.23,17132.05,1077.27
73,1,13,R,19573.83,17129.14,1077.32
74,1,14,R,19528.42,17126.48,1077.37
75,1,15,R,19483.02,17124.1,1077.41
76,1,16,R,19437.62,17122.01,1077.45
77,1,17,R,19392.22,17120.27,1077.48
78,1,18,R,19346.81,17118.9,1077.51
79,1,19,R,19301.41,17117.96,1077.52
80,1,20,R,19256.01,17117.52,1077.53
81,1,21,R,19210.61,17117.64,1077.53
82,1,22,R,19165.2,17118.42,1077.51
83,1,23,R,19119.8,17119.97,1077.49
84,1,24,R,19074.4,17122.47,1077.44
85,1,25,R,19029.0,17126.13,1077.38
86,1,26,R,18983.6,17131.33,1077.28
87,1,27,R,18938.19,17138.77,1077.15
88,1,28,R,18892.79,17150.17,1076.94
89,1,29,R,18847.39,17183.33,1076.35
90,1,30,R,18892.79,17216.5,1075.75
91,1,31,R,18938.19,17227.89,1075.55
92,1,32,R,18983.6,17235.33,1075.41
93,1,33,R,19029.0,17240.54,1075.32
94,1,34,R,19074.4,17244.2,1075.25
95,1,35,R,19119.8,17246.69,1075.21
96,1,36,R,19165.2,17248.25,1075.18
97,1,37,R,19210.61,17249.03,1075.17
98,1,38,R,19256.01,17249.15,1075.17
99,1,39,R,19301.41,17248.7,1075.17
100,1,40,R,19346.81,17247.77,1075.19
101,1,41,R,19392.22,17246.4,1075.22
102,1,42,R,19437.62,17244.65,1075.25
103,1,43,R,19483.02,17242.57,1075.28
104,1,44,R,19528.42,17240.18,1075.33
105,1,45,R,19573.83,17237.52,1075.37
106,1,46,R,19619.23,17234.62,1075.43
107,1,47,R,19664.63,17231.49,1075.48
108,1,48,R,19710.03,17228.16,1075.54
109,1,49,R,19755.43,17224.62,1075.61
110,1,50,R,19800.84,17220.91,1075.67
111,1,51,R,19846.24,17217.01,1075.74
112,1,52,R,19891.64,17212.94,1075.82
113,1,53,R,19937.04,17208.7,1075.89
114,1,54,R,19982.45,17204.28,1075.97
115,1,55,R,20027.85,17199.69,1076.05
116,1,56,R,20073.25,17194.9,1076.14
117,1,57,R,20118.65,17189.91,1076.23
118,1,58,R,20164.06,17184.72,1076.32
119,2,0,R,20398.52,17315.37,1307.37
120,2,1,R,20355.99,17310.52,1307.7
121,2,2,R,20313.47,17305.86,1308.0
122,2,3,R,20270.94,17301.38,1308.3
